NX101, Declaration, maindoc/NX101.xsd, R-01-00, 產證申辦訊息
N5303, Declaration, maindoc/N5303.xsd, R-00-01, 多國集併貨櫃(物)轉運申請書
N5305, Declaration, maindoc/N5305.xsd, R-00-01, 轉口貨物裝櫃(盤)申請書兼計畫表
N5401, Declaration, maindoc/N5401.xsd, R-00-03, 自由港區事業按月彙報貨物申請書
N5402, Response, maindoc/N5402.xsd, R-00-03, 自由港區事業按月彙報貨物核准通知
N5403, Response, maindoc/N5403.xsd, R-00-02, 自由港區事業按月彙報貨物不受理或取消核准通知
N5404, Response, maindoc/N5404.xsd, R-00-02, 自由港區事業按月彙報核准條件異動通知
N5405, Declaration, maindoc/N5405.xsd, R-00-01, 自由港區事業貨物移倉申請書  
N5406, Response, maindoc/N5406.xsd, R-00-01, 自由港區事業貨物移倉核准通知   #回訊要用Response
N5407, Response, maindoc/N5407.xsd, R-00-01, 自由港區事業貨物移倉不受理或取消核准通知
NX201_01, Declaration, maindoc/NX201_01.xsd, R-02-00, 同意文件申辦訊息
NX201_07, Declaration, maindoc/NX201_07.xsd, R-01-00, 同意文件申辦註銷或展期訊息
NX202, Response, maindoc/NX202.xsd, R-00-03, 同意文件核覆訊息
NX301, Declaration, maindoc/NX301.xsd, R-05-00, 報驗申辦訊息
NX301_DN, Declaration, maindoc/NX301_DN.xsd, R-03-01, 酒類查驗申辦訊息
NX301_AX, Declaration, maindoc/NX301_AX.xsd, R-01-00, 報驗申辦訊息
NX302, Response, maindoc/NX302.xsd, R-01-00, 審核結果核覆訊息
NX302_AX, Response, maindoc/NX302_AX.xsd, R-00-01, 審核結果核覆訊息
NX401, Declaration, maindoc/NX401.xsd, R-03-00, 檢疫申辦訊息
NX402, Response, maindoc/NX402.xsd, R-02-00, 檢疫核覆訊息
NX5105, Declaration, maindoc/NX5105.xsd, R-08-01, 單證合一進口報單
NX5105D, Declaration, maindoc/NX5105D.xsd, R-00-01, 單證合一進口報單取消
NX5106, Response, maindoc/NX5106.xsd, R-00-04, 單證合一核覆訊息
NX5901, Declaration, maindoc/NX5901.xsd, R-01-00, 申辦訊息檢附文件
NX601, Declaration, maindoc/NX601.xsd, R-06-01, 輸入食品報驗申辦訊息
NX602, Response, maindoc/NX602.xsd, R-01-00, 輸入食品查驗結果回覆訊息
NX603, Declaration, maindoc/NX603.xsd, R-02-00, 醫療器材報驗申辦訊息
NX302_DN, Response, maindoc/NX302_DN.xsd, R-01-00, 酒類查驗核覆訊息
NX801, Declaration, maindoc/NX801.xsd, R-00-04, 單證比對會辦訊息
NX802, Response, maindoc/NX802.xsd, R-00-04, 單證比對回覆訊息
NX901, Response, maindoc/NX901.xsd, R-00-03, 簽審回應訊息
NX902, Response, maindoc/NX902.xsd, R-00-03, 簽審通知訊息
NX903, Response, maindoc/NX903.xsd, R-00-03, 錯誤或異常通知訊息
NX803, Declaration, maindoc/NX803.xsd, R-00-01, 酒類取樣訊息
NX804, Response, maindoc/NX804.xsd, R-00-01, 酒類取樣回覆訊息
N5501, Declaration, maindoc/N5501.xsd, R-02-00, 進出口合一報單
N5411, Declaration, maindoc/N5411.xsd, R-00-01, 自由港區事業出口按月彙報貨物申請清表
N5412, Response, maindoc/N5412.xsd, R-00-01, 自由港區事業出口按月彙報貨物核准通知
N5413, Response, maindoc/N5413.xsd, R-00-01, 自由港區事業出口按月彙報貨物不受理或取消核准通知
